> Ireland
     C14ID C14Age C14SD   LabCode                   Material SiteID Latitude Longitude Country
1839  9295   4760   100   I-14206                       NULL  S1826  51.9600 -10.26000 Ireland
498   9393   4230    75  OxA-4250                 human bone  S1196  52.1000  -7.71667 Ireland
3141  9394   4580   150    BM-135                       bone  S2392  52.1027  -7.73730 Ireland
1981  9414   6300   140 GrN-18772                   charcoal  S1896  52.1764 -10.45560 Ireland
1972  9415   5900   110 GrN-18769                   charcoal  S1896  52.1764 -10.45560 Ireland
1975  9416   5850   130 BM-2228AR                   charcoal  S1896  52.1764 -10.45560 Ireland
1973  9417   5750   140  BM-2228R                   charcoal  S1896  52.1764 -10.45560 Ireland
1986  9418   5727    81   UB-3598                   charcoal  S1896  52.1764 -10.45560 Ireland
1982  9420   5620   130 GrN-18770 charred plant macrofossils  S1896  52.1764 -10.45560 Ireland
1987  9421   5620    80 GrN-18771 charred plant macrofossils  S1896  52.1764 -10.45560 Ireland
1970  9422   5510    70  OxA-3869                       bone  S1896  52.1764 -10.45560 Ireland
1971  9424   5503    45   UB-3599                   charcoal  S1896  52.1764 -10.45560 Ireland
1984  9425   5500   130 BM-2229AR                   charcoal  S1896  52.1764 -10.45560 Ireland
1983  9426   5490   160  BM-2229R                   charcoal  S1896  52.1764 -10.45560 Ireland
1977  9427   5479    56   UB-3597                   charcoal  S1896  52.1764 -10.45560 Ireland
1979  9428   5420   150 BM-2227AR                   charcoal  S1896  52.1764 -10.45560 Ireland
1976  9429   5400   220  BM-2227R                   charcoal  S1896  52.1764 -10.45560 Ireland
1985  9430   5245    55    Q-2641                   charcoal  S1896  52.1764 -10.45560 Ireland
4064  9431   4585    80  OxA-2681                 human bone  S2819  52.1833  -8.90000 Ireland
6457  9485   4890    80  OxA-1476         plant macrofossils  S3936  52.4042  -8.61130 Ireland
6456  9486   4840    80  OxA-1477         plant macrofossils  S3936  52.4042  -8.61130 Ireland
3060  9608   4770    80  OxA-2680                 human bone  S2332  52.5000  -7.16670 Ireland
4144  9663   4690   240      D-41                   charcoal  S2857  52.5196  -8.53040 Ireland
4153  9664   4410   240      D-40                   charcoal  S2857  52.5196  -8.53040 Ireland
2283  9665   4090   140      D-39                   charcoal  S2005  52.5196  -8.53040 Ireland
5977  9768   4930    60 GrN-11431                   charcoal  S3739  52.6804  -8.23070 Ireland
286   9840   4675    35  GrN-9708                       bone  S1107  52.8711  -8.14960 Ireland
355   9852   4765    40 GrN-11036                 human bone  S1130  52.9330  -8.18850 Ireland
354   9853   4385   110   GU-1779                animal bone  S1130  52.9330  -8.18850 Ireland
482   9867   4800    70  GrN10469                 human bone  S1194  52.9805  -6.67480 Ireland
5123  9899   4695    35 GrN-12622                 human bone  S3371  53.0328  -9.14863 Ireland
5122  9900   4550    65  OxA-3265                 human bone  S3371  53.0328  -9.14863 Ireland
5118  9901   4485    60  OxA-3264                 human bone  S3371  53.0328  -9.14863 Ireland
5126  9952   5100    80  OxA-1906                 human bone  S3372  53.0455  -9.13430 Ireland
5131  9953   4940    80  OxA-1910                 human bone  S3372  53.0455  -9.13430 Ireland
5129  9954   4930    80  OxA-1905                 human bone  S3372  53.0455  -9.13430 Ireland
5128  9955   4810    80  OxA-1912                 human bone  S3372  53.0455  -9.13430 Ireland
5133  9956   4720    70  OxA-1911                 human bone  S3372  53.0455  -9.13430 Ireland
5127  9957   4550    80  OxA-1909                 human bone  S3372  53.0455  -9.13430 Ireland
5132  9958   4520    80  OxA-1907                 human bone  S3372  53.0455  -9.13430 Ireland
5134  9959   4440    80  OxA-1908                 human bone  S3372  53.0455  -9.13430 Ireland
5130  9960   4390    90  OxA-1913                 human bone  S3372  53.0455  -9.13430 Ireland
6304  9978   6200    80  OxA-2758                       bone  S3877  53.0865  -8.28470 Ireland
6303  9979   5270    80  OxA-2942                       bone  S3877  53.0865  -8.28470 Ireland
6306  9980   5180    80  OxA-2943                       bone  S3877  53.0865  -8.28470 Ireland
6305  9981   5170    90  OxA-2941                       bone  S3877  53.0865  -8.28470 Ireland
4134 10058   8980   360   UB-2268                   charcoal  S2856  53.2124  -7.77660 Ireland
4131 10059   8475    75   UB-2199                   charcoal  S2856  53.2124  -7.77660 Ireland
4135 10060   8450    70   UB-2267                   charcoal  S2856  53.2124  -7.77660 Ireland
4132 10061   8350    70   UB-2200                   charcoal  S2856  53.2124  -7.77660 Ireland
1520 10137   5300   170      D-38                   charcoal  S1666  53.2708  -6.08400 Ireland
1522 10138   4160   150     BM-78                       bone  S1666  53.2708  -6.08400 Ireland
2991 10140   9720   300   OxA-569                       peat  S2305  53.6344  -7.25959 Ireland
4605 10143   7600   900   OxA-567         plant macrofossils  S3061  53.8200  -6.76000 Ireland
2990 10144   7600   500   OxA-568         plant macrofossils  S2305  53.6344  -7.25959 Ireland
5042 10161   4650    70  OxA-2678                 human bone  S3292  53.3667  -6.33330 Ireland
1348 10165   5360   110    I-4234                       peat  S1563  53.6650  -7.40924 Ireland
6402 10166   5250   110    I-5067                   charcoal  S3909  53.4006  -7.61030 Ireland
4942 10167   4120    70 GrN-12346                   charcoal  S3244  53.4373  -6.15930 Ireland
6458 10184   4260   160      D-43                   charcoal  S3938  53.5800  -6.61230 Ireland
6459 10185   4080   160      D-42                   charcoal  S3938  53.5800  -6.61230 Ireland
4694 10204   4500    45  GrN-5462                       NULL  S3114  53.6948  -6.47555 Ireland
4700 10205   4480    60  GrN-9057                       peat  S3114  53.6948  -6.47555 Ireland
4686 10207   4415    40  GrN-5463                       NULL  S3114  53.6948  -6.47555 Ireland
4699 10208   3985    55   UB-2392                   charcoal  S3114  53.6948  -6.47555 Ireland
4678 10209   3985    45   UB-2393                   charcoal  S3114  53.6948  -6.47555 Ireland
4688 10210   3875    90   UB-2394                   charcoal  S3114  53.6948  -6.47555 Ireland
3209 10211   4875   150    UB-318                   charcoal  S2419  53.7051  -6.49170 Ireland
3206 10212   4795   185    UB-319                   charcoal  S2419  53.7051  -6.49170 Ireland
3217 10213   4745   165    UB-357                   charcoal  S2419  53.7051  -6.49170 Ireland
4702 10214   4070    60 GrN-11801                   charcoal  S3114  53.6948  -6.47555 Ireland
4692 10215   4070    40 GrN-11800                   charcoal  S3114  53.6948  -6.47555 Ireland
4689 10216   4050    65   GU-1617                   charcoal  S3114  53.6948  -6.47555 Ireland
4683 10217   4030    35 GrN-11802                   charcoal  S3114  53.6948  -6.47555 Ireland
4704 10218   4000    65   GU-1620                   charcoal  S3114  53.6948  -6.47555 Ireland
4695 10219   4000    30 GrN-12828                   charcoal  S3114  53.6948  -6.47555 Ireland
4693 10220   3980    75   GU-1618                   charcoal  S3114  53.6948  -6.47555 Ireland
4697 10221   3975    60   GU-1773                   charcoal  S3114  53.6948  -6.47555 Ireland
4685 10222   3970    70   GU-1622                   charcoal  S3114  53.6948  -6.47555 Ireland
4703 10223   3965    65   GU-1774                   charcoal  S3114  53.6948  -6.47555 Ireland
4691 10224   3935    70   GU-1771                   charcoal  S3114  53.6948  -6.47555 Ireland
4701 10225   3930    35 GrN-12829                   charcoal  S3114  53.6948  -6.47555 Ireland
4679 10226   3900    60   GU-1772                   charcoal  S3114  53.6948  -6.47555 Ireland
4687 10227   3890    75   GU-1621                   charcoal  S3114  53.6948  -6.47555 Ireland
4696 10228   3885    70   GU-1619                   charcoal  S3114  53.6948  -6.47555 Ireland
3208 10229   4852    71   BM-1076                   charcoal  S2419  53.7051  -6.49170 Ireland
3211 10230   4490    60 GrN-12358                   charcoal  S2419  53.7051  -6.49170 Ireland
3207 10231   4465    40 GrN-12827                       wood  S2419  53.7051  -6.49170 Ireland
3215 10232   4399    67   BM-1078                   charcoal  S2419  53.7051  -6.49170 Ireland
3212 10233   4158   126    BM-785                   charcoal  S2419  53.7051  -6.49170 Ireland
6573 10234   4680   150    BM-170                   charcoal  S4018  53.7218  -6.45010 Ireland
4501 10235   4750    65    UB-732                   charcoal  S3015  53.7241  -6.48620 Ireland
1347 10236   5270    60 GrN-11443                   charcoal  S1563  53.6650  -7.40924 Ireland
4606 10237   3460    35 GrN-11442                   charcoal  S3061  53.8200  -6.76000 Ireland
5333 10308   5470   110    I-5323                   charcoal  S3522  54.0090  -6.29280 Ireland
2989 10314   5830    65   Lu-1961                       peat  S2305  53.6344  -7.25959 Ireland
1183 10315   5640    65   Lu-1962                       peat  S1471  54.0475  -8.36700 Ireland
2992 10316   5270    60   Lu-1963                       peat  S2305  53.6344  -7.25959 Ireland
1184 10317   4010    55   Lu-1960                       wood  S1471  54.0475  -8.36700 Ireland
6039 10350   3955    75    UB-180                       soil  S3793  54.1215  -6.43210 Ireland
518  10380   6925    95    UB-702                       soil  S1199  54.1521  -6.37280 Ireland
