lab_id,site_id,c14_age,c14_error,curve
Wk-33542,Arnhem Plateau,298,25,shcal20
Wk-33540,Arnhem Plateau,742,25,shcal20
Wk-35588,Arnhem Plateau,3865,25,shcal20
Wk-32918,Arnhem Plateau,147,26,shcal20
Wk-33541,Arnhem Plateau,4525,29,shcal20
OZL-605,Victoria Volcanic Plain,260,30,shcal20
Wk-29098,Victoria Volcanic Plain,397,30,shcal20
Wk-28885,Victoria Volcanic Plain,687,30,shcal20
Wk-29096,Victoria Volcanic Plain,752,30,shcal20
Wk-28888,Victoria Volcanic Plain,919,30,shcal20
GaK-370,NSW North Coast,1210,30,shcal20
Wk-27466,Sydney Basin,1265,30,shcal20
Wk-29097,Victoria Volcanic Plain,1543,30,shcal20
Wk-26882,Sydney Basin,2055,30,shcal20
CAMS-120202,Sydney Basin,3480,30,shcal20
Wk-23983,South East Coastal Plain,4485,30,shcal20
Wk-28881,Victoria Volcanic Plain,624,31,shcal20
Wk-28882,Victoria Volcanic Plain,665,31,shcal20
Wk-28880,Victoria Volcanic Plain,889,31,shcal20
Wk-32919,Arnhem Plateau,4056,31,shcal20
Wk-26883,Sydney Basin,5812,31,shcal20
Wk-23462,South East Coastal Plain,1391,32,shcal20
Wk-23460,South East Coastal Plain,2277,32,shcal20
Wk-19710,South East Coastal Plain,2350,32,shcal20
Wk-22761,Sydney Basin,3643,32,shcal20
Wk-22764,Sydney Basin,4151,32,shcal20
Wk-19594,Broken Hill Complex,190,33,shcal20
Wk-19574,Broken Hill Complex,235,33,shcal20
Wk-13331,Sydney Basin,1685,33,shcal20
Wk-22763,Sydney Basin,4563,33,shcal20
Wk-21268,Great Sandy Desert,183,34,shcal20
Wk-22757,MacDonnell Ranges,259,34,shcal20
Wk-19598,Broken Hill Complex,795,34,shcal20
Wk-19606,Broken Hill Complex,938,34,shcal20
Wk-19570,Broken Hill Complex,982,34,shcal20
Wk-23407,South East Coastal Plain,2171,34,shcal20
Wk-25381,Arnhem Plateau,77,35,shcal20
OZL-604,Victoria Volcanic Plain,205,35,shcal20
Wk-14104,Sydney Basin,219,35,shcal20
Wk-21267,Great Sandy Desert,223,35,shcal20
Wk-13291,Sydney Basin,266,35,shcal20
Wk-19600,Broken Hill Complex,348,35,shcal20
Wk-19607,Broken Hill Complex,357,35,shcal20
Wk-19579,Broken Hill Complex,410,35,shcal20
Wk-19604,Broken Hill Complex,416,35,shcal20
OZF-253,Brigalow Belt South,580,35,shcal20
Wk-19573,Broken Hill Complex,928,35,shcal20
Wk-14105,Sydney Basin,1432,35,shcal20
OZH-891,Darwin Coastal,1570,35,shcal20
OZH-890,Darwin Coastal,1835,35,shcal20
Wk-14102,Sydney Basin,2942,35,shcal20
Wk-17436,Sydney Basin,3270,35,shcal20
Wk-14106,Sydney Basin,3423,35,shcal20
Wk-17432,Sydney Basin,4433,35,shcal20
Wk-19601,Broken Hill Complex,326,36,shcal20
Wk-19596,Broken Hill Complex,342,36,shcal20
Wk-19608,Broken Hill Complex,366,36,shcal20
Wk-28864,NSW North Coast,579,36,shcal20
Wk-11949,Cape York Peninsula,604,36,shcal20
Wk-19614,Broken Hill Complex,635,36,shcal20
Wk-14626,Sydney Basin,852,36,shcal20
Wk-28865,NSW North Coast,939,36,shcal20
Wk-19572,Broken Hill Complex,942,36,shcal20
Wk-14617,Sydney Basin,1248,36,shcal20
Wk-22421,South East Corner,1352,36,shcal20
Wk-23461,South East Coastal Plain,1828,36,shcal20
Wk-16998,Simpson Strzelecki Dunefields,2838,36,shcal20
Wk-14623,Sydney Basin,199,37,shcal20
Wk-21266,Great Sandy Desert,211,37,shcal20
Wk-16226,Sydney Basin,337,37,shcal20
Wk-9340,Broken Hill Complex,678,37,shcal20
Wk-19597,Broken Hill Complex,991,37,shcal20
Wk-14622,Sydney Basin,1256,37,shcal20
Wk-19581,Broken Hill Complex,1587,37,shcal20
Wk-19575,Broken Hill Complex,1745,37,shcal20
Wk-9336,Broken Hill Complex,468,38,shcal20
Wk-16230,Sydney Basin,592,38,shcal20
Wk-19584,Broken Hill Complex,638,38,shcal20
WK-14624,Sydney Basin,743,38,shcal20
Wk-19585,Broken Hill Complex,1094,38,shcal20
Wk-19576,Broken Hill Complex,1178,38,shcal20
Wk-16610,Darwin Coastal,1635,38,shcal20
Wk-13294,Sydney Basin,233,39,shcal20
Wk-9339,Broken Hill Complex,314,39,shcal20
Wk-9338,Broken Hill Complex,354,39,shcal20
NZA-20627,Little Sandy Desert,386,39,shcal20
Wk-19602,Broken Hill Complex,752,39,shcal20
Wk-14619,Sydney Basin,1109,39,shcal20
Wk-14618,Sydney Basin,1116,39,shcal20
Wk-16229,Sydney Basin,3010,39,shcal20
Wk-5493,Broken Hill Complex,270,40,shcal20
OZL-758,Victoria Volcanic Plain,300,40,shcal20
Not given,Gulf Plains,375,40,shcal20
OZG-691,Gulf Plains,375,40,shcal20
GaK-569,NSW North Coast,410,40,shcal20
OZF-395,Murray Darling Depression,420,40,shcal20
Beta-3922,Naracoorte Coastal Plain,450,40,shcal20
GaK-571,NSW North Coast,535,40,shcal20
OZF-257,Brigalow Belt South,570,40,shcal20
GaK-572,NSW North Coast,630,40,shcal20
OZF-252,Brigalow Belt South,650,40,shcal20
Wk-16121,Pilbara (inland),716,40,shcal20
GaK-570,NSW North Coast,740,40,shcal20
Beta-165769,Sydney Basin,760,40,shcal20
Beta-165770,Sydney Basin,770,40,shcal20
OZF-396,Murray Darling Depression,820,40,shcal20
OZF-256,Brigalow Belt South,860,40,shcal20
Beta-165772,Sydney Basin,930,40,shcal20
Beta-137093,Sydney Basin,930,40,shcal20
OZF-394,Murray Darling Depression,1230,40,shcal20
Not given,Brigalow Belt North,1240,40,shcal20
Wk-5122,Channel Country,1260,40,shcal20
Wk-3626,Warren,1370,40,shcal20
Wk-13333,Sydney Basin,1652,40,shcal20
Beta-165768,Sydney Basin,1670,40,shcal20
OZH-893,Darwin Coastal,1705,40,shcal20
Beta-165771,Sydney Basin,1840,40,shcal20
OZF-393,Murray Darling Depression,2790,40,shcal20
Not given,Brigalow Belt North,2860,40,shcal20
Wk-16227,Sydney Basin,3351,40,shcal20
R2040/4,Southern East Queensland,4730,40,shcal20
Not given,Brigalow Belt North,5240,40,shcal20
OZL-608,Victoria Volcanic Plain,5820,40,shcal20
Wk-14620,Sydney Basin,265,41,shcal20
Wk-13293,Sydney Basin,337,41,shcal20
Wk-21305,Murray Darling Depression,1103,42,shcal20
Wk-23406,South East Coastal Plain,5463,42,shcal20
Wk-19577/NZA 27101,Broken Hill Complex,259,43,shcal20
Wk-19582/NZA 27104,Broken Hill Complex,858,43,shcal20
Wk-14621,Sydney Basin,1391,43,shcal20
Wk-13292,Sydney Basin,2143,43,shcal20
Wk-28883,Victoria Volcanic Plain,4715,43,shcal20
Wk-18838,South Eastern Highlands,8343,43,shcal20
Wk-18839,South Eastern Highlands,8668,43,shcal20
Wk-16228,Sydney Basin,347,44,shcal20
Wk-10703,Cape York Peninsula,670,44,shcal20
Wk-13295,Sydney Basin,2757,44,shcal20
Wk-19583,Broken Hill Complex,286,45,shcal20
NZ-367,South East Coastal Plain,370,45,shcal20
Wk-12416,South East Corner,953,45,shcal20
WK-21304,Murray Darling Depression,1047,45,shcal20
OZH-896,Darwin Coastal,1345,45,shcal20
Wk-12417,South East Corner,1715,45,shcal20
Wk-13446,NSW North Coast,2584,45,shcal20
Wk-16547,Sydney Basin,3241,45,shcal20
Wk-9342,Broken Hill Complex,379,46,shcal20
Wk-12326,Murray Darling Depression,584,46,shcal20
Wk-12325,Murray Darling Depression,771,46,shcal20
Wk-19580/NZA 27103,Broken Hill Complex,1321,46,shcal20
Wk-14266,Sydney Basin,2026,46,shcal20
Wk-11149,Riverina,2059,46,shcal20
Wk-11147,Riverina,261,47,shcal20
Wk-11145,Riverina,775,47,shcal20
Wk-10282,Murray Darling Depression,886,47,shcal20
Wk-19578/ NZA 27102,Broken Hill Complex,1708,47,shcal20
Wk-11188,Victoria Midlands,2283,47,shcal20
V-11,NSW North Coast,2852,47,shcal20
Wk-11148,Riverina,984,48,shcal20
Wk-12319,Murray Darling Depression,1002,48,shcal20
Wk-11144,Riverina,187,49,shcal20
Wk-9994,Murray Darling Depression,261,49,shcal20
Wk-13332,Sydney Basin,1611,49,shcal20
Wk-14103,Sydney Basin,6720,49,shcal20
SUA 2254,Flinders Lofty Block,60,50,shcal20
OZA-303,Victoria Bonaparte,80,50,shcal20
LLNL-32255,Victoria Bonaparte,130,50,shcal20
Beta-69644,Victoria Midlands,140,50,shcal20
Beta-21545,Naracoorte Coastal Plain,160,50,shcal20
Wk-11146,Riverina,187,50,shcal20
Beta-165767,Sydney Basin,200,50,shcal20
Wk-3142,Broken Hill Complex,220,50,shcal20
Beta-53299,NSW North Coast,230,50,shcal20
Beta-65747,Sydney Basin,230,50,shcal20
Beta-7061,South East Coastal Plain,250,50,shcal20
Wk-3424,Southern East Queensland,250,50,shcal20
Beta-69645,Victoria Midlands,270,50,shcal20
Beta-16546,South East Coastal Plain,320,50,shcal20
Wk-4536,Sydney Basin,330,50,shcal20
Wk-4197,Broken Hill Complex,350,50,shcal20
Wk-6322,Pilbara (inland),350,50,shcal20
Wk-6621,Channel Country,380,50,shcal20
Wk-3954,Warren,400,50,shcal20
Beta-69643,Victoria Midlands,410,50,shcal20
Wk-5332,Channel Country,470,50,shcal20
Not given,NSW North Coast,470,50,shcal20
Wk-8009,Southern East Queensland,500,50,shcal20
SUA-2499,Cape York Peninsula,520,50,shcal20
SUA-2500,Cape York Peninsula,540,50,shcal20
Wk-7099,Pilbara (inland),540,50,shcal20
Wk-6324,Pilbara (inland),560,50,shcal20
AA-5846,South East Corner,635,50,shcal20
Wk-5125,Channel Country,660,50,shcal20
Wk-6631,Channel Country,660,50,shcal20
Beta-39210,Sydney Basin,660,50,shcal20
Beta-48521,Sydney Basin,680,50,shcal20
Wk-5330,Channel Country,690,50,shcal20
ANU-8329,Arnhem Coast,690,50,shcal20
ANU-3047,South East Corner,690,50,shcal20
Wk-4533,Sydney Basin,700,50,shcal20
Wk-4537,Sydney Basin,740,50,shcal20
GaK-398,Naracoorte Coastal Plain,760,50,shcal20
Beta-52811,Tasmanian Central Highlands,780,50,shcal20
Wk-6038,Channel Country,790,50,shcal20
Beta-56983,Sydney Basin,810,50,shcal20
Wk-5329,Channel Country,820,50,shcal20
Beta-39201,Sydney Basin,830,50,shcal20
Beta-16650,South Eastern Highlands,870,50,shcal20
