interval,cal_bp,spd,x,log_spd,y
"[1e+03,1.02e+03]",1000,0.11983157481553548,0,-1.9833075449506623,-5.980081425392919
"[975,1e+03)",987,2.9386013395142534,0.013,1.0839665908317124,-0.331514210169318
"[950,975)",962,2.9809981469368565,0.038,1.098205503815757,-0.3052924075192655
"[925,950)",937,3.07865017475473,0.063,1.1302504555053439,-0.24627972866685682
"[900,925)",912,3.3424150661725855,0.088,1.2119995475143794,-0.09573392788248945
"[875,900)",887,3.4943082897834596,0.113,1.2562113122514187,-0.014315341292047985
"[850,875)",862,3.4184355744829857,0.138,1.2343712504241,-0.05453511029707101
"[825,850)",837,3.3965088184128227,0.163,1.2279697306205946,-0.06632388863541874
"[800,825)",812,3.420576179976027,0.188,1.2349940105176493,-0.05338826065414691
"[775,800)",787,3.5406170771130405,0.213,1.2693106750911738,0.00980791219017967
"[750,775)",762,3.5308546774893363,0.238,1.2665634238329093,0.004748686081765247
"[725,750)",737,3.504993529325937,0.263,1.2592491096462501,-0.008721057243302603
"[700,725)",712,3.4955468204581672,0.288,1.2565638978430878,-0.013666034016109285
"[675,700)",687,3.4969501909113503,0.313,1.2569632599347742,-0.012930585041468545
"[650,675)",662,4.173339527603077,0.338,1.4329683053618727,0.311193143488542
"[625,650)",637,4.154047555170718,0.363,1.428354621117878,0.3026967703544937
"[600,625)",612,4.02574984360589,0.388,1.397118466133385,0.24517353859743238
"[575,600)",587,4.215224146584821,0.413,1.4429123537580224,0.3295056983077612
"[550,575)",562,4.097026939946338,0.438,1.4145923413422201,0.27735271602278433
"[525,550)",537,3.923420718258655,0.463,1.371485870895288,0.1979695944132648
"[500,525)",512,3.7602755749346013,0.488,1.3292099414411644,0.12011596329438957
"[475,500)",487,4.434324388120444,0.513,1.4933772729323134,0.4224398396162946
"[450,475)",462,4.729552387268393,0.538,1.5575832255377227,0.5406789088531263
"[425,450)",437,4.774523520711055,0.563,1.567011562330566,0.5580417501723478
"[400,425)",412,4.720516023527351,0.588,1.5556779509991585,0.5371702328045838
"[375,400)",387,4.793910885104436,0.613,1.5710489207164844,0.5654767850617185
"[350,375)",362,4.8566142285986125,0.638,1.5839961942669878,0.5893199570986551
"[325,350)",337,4.8335159336545725,0.663,1.5792462321170715,0.5805726201193582
"[300,325)",312,4.6523980601738435,0.688,1.5411975734786065,0.510503758891326
"[275,300)",287,4.610250784756126,0.713,1.5321318385719436,0.49380867044836796
"[250,275)",262,3.9966222106882916,0.738,1.3898888824235758,0.23185983147013411
"[225,250)",237,3.353665784832103,0.763,1.2153421867150085,-0.08957825957076927
"[200,225)",212,4.3424578543782895,0.788,1.4725270102229324,0.38404284438359837
"[175,200)",187,4.497806411373559,0.813,1.5075354459500636,0.44851295483040915
"[150,175)",162,4.539805773093195,0.838,1.5167934308479538,0.46556208303293906
"[125,150)",137,3.4669622432502663,0.863,1.2483945809498733,-0.028710315528303852
"[100,125)",112,3.3148501407274047,0.888,1.2037623484048554,-0.11090321852154034
"[75,100)",87,3.4035129152571004,0.913,1.2300190355631486,-0.06254997205669927
"[50,75)",62,3.0922278942226367,0.938,1.1346258261560946,-0.23822222414713826
"[25,50)",37,2.782001841588049,0.963,1.0295421242910525,-0.43174009276040604
"[0,25)",12,3.556349336661304,0.988,1.2737220929937563,0.017931799861805063
