C14ID,SiteID,LONGITUDE,Latitude,SITE,SITE_TYPE,LabCode,C14Age,C14SD,C13_AGE,C13_ERROR,MATERIAL,Material,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,,,Country
12678,Arnhem Plateau,Longitude,-12.43,Birriwilk rockshelter,Rockshelter,Wk-33542,298,25,-26,0.2,Charcoal,Charcoal,XU 12,21-24,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,298,,,,AUSTRALIA
12679,Arnhem Plateau,133.01,-12.43,Birriwilk rockshelter,Rockshelter,Wk-33540,742,25,-26,0.2,Charcoal,Charcoal,XU 15,28-30,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,742,,,,AUSTRALIA
12680,Arnhem Plateau,133.01,-12.43,Birriwilk rockshelter,Rockshelter,Wk-35588,3865,25,-24.7,0.2,Charcoal,Charcoal,XU 19,37-39,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,3865,,,,AUSTRALIA
12677,Arnhem Plateau,133.01,-12.43,Birriwilk rockshelter,Rockshelter,Wk-32918,147,26,-27.1,0.2,Charcoal,Charcoal,XU 8,14-16,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,147,,,,AUSTRALIA
12683,Arnhem Plateau,133.01,-12.43,Birriwilk rockshelter,Rockshelter,Wk-33541,4525,29,-24.2,0.2,Charcoal,Charcoal,XU 31,66-70,Radiocarbon,,Terrestrial,Closed,Y,Shine et al. 2013,"A rockshelter located in in Mikinj Valley, southwest Arnhem Land. The rockshelter was an elevated terrace some 13 x 7 m in size, and overlooks Birriwilk lagoon. The rockshelter contains 30 images of primarily bi and tri chrome x-ray fish art, as well as few animals. Excavations consisted of 1 sq. m at the base of the rock art panel within the shelter. Excavations reached bedrock at 103 cm below surface. Excavations recovered 412 artefacts, charcoal, shell and worked and unworked ochre. Glass was also found in XU3-4. Data suggests initial use from XU 31 at c. 4.5ka (Wk-33541) with intermittent use from c. 4ka (Wk-32919) and peak activity between c. 0.7-0.3ka (Wk-33540-Wk-33542), with decline in use in uppermost deposits. Artefacts show changing use in material over time beginning with tuff, then chert and finally quartzite, the latter being associated with bifacial points. Faunal remains included turtle and fish species.",c14,,4525,,,,AUSTRALIA
10248,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,OZL-605,260,30,-24,0.1,Carbonised Eucalypt sp.,Charcoal,"Sq. B, XU 6, sample 1",12.3-14.3,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,260,,,,AUSTRALIA
10250,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-29098,397,30,,,Carbonised wood,Charcoal,"Sq. B, XU 11a, sample 5",24.0-27.3,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,397,,,,AUSTRALIA
10253,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-28885,687,30,-28.7,0.2,Carbonised wood,Charcoal,"Sq. B, XU 10a, sample 12",21.4-24.0,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,687,,,,AUSTRALIA
10254,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-29096,752,30,-26,0.2,Carbonised wood,Charcoal,"Sq. B, XU 9a, sample 8",18.6-21.4,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,752,,,,AUSTRALIA
10256,Victoria Volcanic Plain,141.82,-38.07,Muldoons Trap Complex (Lake Condah),Fish Trap,Wk-28888,919,30,-25.2,0.2,Carbonised wood,Charcoal,"Sq. B, XU 11a, sample 3",24.0-27.3,Radiocarbon,,Terrestrial,Open,Y,"McNiven et al., 2012","A detailed investigation of a fish trap on the edge of Lake Condah. One area of the fish trap, F10, was excavated in detail with 15 AMS radiocarbon dates being recovered from infilled material. Bone, charcoal and artefacts were also recovered from the sediments and indicate broadly increasing densities in more recent periods. The radiocarbon dates indicate that the fish traps were primarily used during two periods - between 0.19 - 1.37ka and 5.4 - 8.88ka. There is also evidence of a wall building phase around 0.6-0.8ka. Interpretations suggest a focus on the resources associated with higher lake levels in the mid Holocene climatic optimum and the more recent late Holocene, with a hiatus occurring during periods of intense ENSO (4-2ka).",c14,,919,,,,AUSTRALIA
